date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:02:52	108/108	---M-Z	200	added ('OK')	text/plain	etag:%228cf2bc0a769f6fedebb6beef666261be%22	https://bulky-hiring-042265.framer.app/robots.txt		(from )
21:02:53	946537/946537	---M-Z	200	added ('OK')	text/html	etag:%22a722ff7206d0b0588591fe65488fd06f%22	https://bulky-hiring-042265.framer.app/ro/	C:/My%20Web%20Sites/zynt/bulky-hiring-042265.framer.app/ro/index.html	(from )
21:02:53	10565/10565	---MC-	200	added ('OK')	image/png	etag:%223c0867b18f5d4748fb91ec144e3ae6b9%22	https://framerusercontent.com/images/CeuWff5xxtXIfB2xD7KLxQdGI.png	C:/My%20Web%20Sites/zynt/framerusercontent.com/images/CeuWff5xxtXIfB2xD7KLxQdGI.png	(from https://bulky-hiring-042265.framer.app/ro/)
21:02:54	192591/192591	---M-Z	404	error ('Not%20Found')	text/html	etag:%22dd792ad942cc80e74f38132a28f578ff%22	https://bulky-hiring-042265.framer.app/ro/e	C:/My%20Web%20Sites/zynt/bulky-hiring-042265.framer.app/ro/e.1.delayed	(from https://bulky-hiring-042265.framer.app/ro/)
21:02:55	192591/192591	---M-Z	404	error ('Not%20Found')	text/html	etag:%22dd792ad942cc80e74f38132a28f578ff%22	https://bulky-hiring-042265.framer.app/ro/r	C:/My%20Web%20Sites/zynt/bulky-hiring-042265.framer.app/ro/r.2.delayed	(from https://bulky-hiring-042265.framer.app/ro/)
21:02:56	349235/349235	---M-Z	200	added ('OK')	text/html	etag:%2264ee71c42f2de7eff50981c982c48d4f%22	https://bulky-hiring-042265.framer.app/ro/about	C:/My%20Web%20Sites/zynt/bulky-hiring-042265.framer.app/ro/about.html	(from https://bulky-hiring-042265.framer.app/ro/)
21:02:56	218798/218798	---M-Z	200	added ('OK')	text/html	etag:%2201b26f625eb80eedd1255bdd6ed428e3%22	https://bulky-hiring-042265.framer.app/ro/blog	C:/My%20Web%20Sites/zynt/bulky-hiring-042265.framer.app/ro/blog.html	(from https://bulky-hiring-042265.framer.app/ro/)
21:02:57	336971/336971	---M-Z	200	added ('OK')	text/html	etag:%22d3f33bc64a61c289a65bced76084d046%22	https://bulky-hiring-042265.framer.app/ro/pricing	C:/My%20Web%20Sites/zynt/bulky-hiring-042265.framer.app/ro/pricing.html	(from https://bulky-hiring-042265.framer.app/ro/)
21:02:58	210030/210030	---M-Z	200	added ('OK')	text/html	etag:%22aa9f0474bf2da3624e52e86c12b0b3e0%22	https://bulky-hiring-042265.framer.app/ro/contact	C:/My%20Web%20Sites/zynt/bulky-hiring-042265.framer.app/ro/contact.html	(from https://bulky-hiring-042265.framer.app/ro/)
21:02:58	40832/40832	---MC-	200	added ('OK')	image/png	etag:%2245a6699401fca3f76546d5674fe4bac5%22	https://framerusercontent.com/images/1V7StdRlOF6rwepRkxbBMIyIc.png?width=443&height=412	C:/My%20Web%20Sites/zynt/framerusercontent.com/images/1V7StdRlOF6rwepRkxbBMIyIc2ad0.png	(from https://bulky-hiring-042265.framer.app/ro/)
21:02:59	34991/34991	---MC-	200	added ('OK')	image/png	etag:%228d282f3a8b721775f8a585e1c4b7465a%22	https://framerusercontent.com/images/KzW9sfOSXKPDdTPGnlhgckmgM8.png?width=381&height=406	C:/My%20Web%20Sites/zynt/framerusercontent.com/images/KzW9sfOSXKPDdTPGnlhgckmgM800ee.png	(from https://bulky-hiring-042265.framer.app/ro/)
21:02:59	48773/48773	---MC-	200	added ('OK')	image/png	etag:%22f6d80365cc1b009b49498f8575195d88%22	https://framerusercontent.com/images/eCraW82aa0n7rISuB41HXmNkuM.png?width=459&height=435	C:/My%20Web%20Sites/zynt/framerusercontent.com/images/eCraW82aa0n7rISuB41HXmNkuM56cd.png	(from https://bulky-hiring-042265.framer.app/ro/)
21:03:00	197197/197197	---M-Z	200	added ('OK')	text/html	etag:%22df7fc6fb1ccdfc91756b1586e17798e8%22	https://bulky-hiring-042265.framer.app/ro/form	C:/My%20Web%20Sites/zynt/bulky-hiring-042265.framer.app/ro/form.html	(from https://bulky-hiring-042265.framer.app/ro/)
21:03:00	40282/40282	---MC-	200	added ('OK')	image/png	etag:%22bcca7f56a975012a6105aca82add64da%22	https://framerusercontent.com/images/jXgajF0E2IvNWZOG1tLm12fQNso.png?width=430&height=425	C:/My%20Web%20Sites/zynt/framerusercontent.com/images/jXgajF0E2IvNWZOG1tLm12fQNso2318.png	(from https://bulky-hiring-042265.framer.app/ro/)
